DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
3/1/2020,6215.285714285715,6448.857142857143,1424.4285714285713,892.2857142857143,1303.5714285714287,1572.5714285714287,1194.142857142857,0,61.57142857142857
3/8/2020,6121.428571428572,6570.857142857143,1425.857142857143,1197.142857142857,1313.142857142857,1309.142857142857,1269,0,56.142857142857146
3/15/2020,6061.571428571428,6614.714285714285,1420.142857142857,1230,1540.857142857143,1093.7142857142858,1274,0,60.142857142857146
3/22/2020,5992.857142857143,5915.714285714285,1422.5714285714287,474,1747.7142857142858,1144,1066.7142857142858,0,60.285714285714285
3/29/2020,5900.428571428572,6801.571428571428,1426.5714285714287,1867.857142857143,1324.4285714285713,1134.2857142857142,988.1428571428571,0,59.42857142857143
4/5/2020,5688.714285714285,5631.714285714285,1424.142857142857,913.8571428571429,1371.857142857143,1025.4285714285713,841.1428571428571,0,54
4/12/2020,5485.714285714285,5416.571428571428,1426.2857142857142,1103.4285714285713,1408.857142857143,834.4285714285714,593.1428571428571,0,49.857142857142854
4/19/2020,5236.285714285715,5767.142857142857,1422.5714285714287,1461.5714285714287,1473.7142857142858,729.2857142857143,633.4285714285714,0,45.142857142857146
4/26/2020,5006.571428571428,5054.285714285715,1409.2857142857142,935.5714285714286,1359.5714285714287,711,595.7142857142857,0,42.142857142857146
5/3/2020,4991.857142857143,4824.142857142857,1418.142857142857,789.1428571428571,1361.2857142857142,578.2857142857143,633.7142857142857,0,42.42857142857143
5/10/2020,5228.428571428572,5041,1416.2857142857142,623.4285714285714,1497.4285714285713,691.1428571428571,764.7142857142857,0,48.285714285714285
5/17/2020,5208.714285714285,5306,1413.4285714285713,1259.7142857142858,1376.857142857143,568.7142857142857,641.1428571428571,0,47.142857142857146
5/24/2020,5225.571428571428,4966.571428571428,1402.5714285714287,772.2857142857143,1427.7142857142858,718.2857142857143,597.1428571428571,0,47.57142857142857
5/31/2020,5252.142857142857,4999.714285714285,1408.4285714285713,1028,1176.2857142857142,731.1428571428571,605,0,49.42857142857143
6/7/2020,5218.142857142857,5061.714285714285,1409,712.5714285714286,1492.7142857142858,739.2857142857143,659.7142857142857,0,47.285714285714285
6/14/2020,5327.428571428572,4890.857142857143,1398,588.2857142857143,1462.4285714285713,785.7142857142857,612.7142857142857,0,42.857142857142854
6/21/2020,5425,5324.857142857143,1293.4285714285713,117,2423.1428571428573,817.2857142857143,634.5714285714286,0,39
6/28/2020,5572.714285714285,6037.857142857143,693,257.14285714285717,3225.8571428571427,957.1428571428571,861.8571428571429,10.857142857142858,30.857142857142858
7/5/2020,5770.571428571428,6151.571428571428,691,491.42857142857144,2740,1046.7142857142858,1146.142857142857,0,35.142857142857146
7/12/2020,5790.571428571428,5900.285714285715,691.1428571428571,645,2123.714285714286,1112.857142857143,1291.7142857142858,0,36.142857142857146
7/19/2020,5627.571428571428,5494.571428571428,692.5714285714286,777,1807.2857142857142,1026.4285714285713,1154.857142857143,0,35.714285714285715
7/26/2020,5669.571428571428,5432.571428571428,690.2857142857143,400.7142857142857,2211,1013.2857142857143,1082.857142857143,0,34
8/2/2020,5827,5927.428571428572,688.1428571428571,653,2131.285714285714,1122.2857142857142,1296.7142857142858,0,35.285714285714285
8/9/2020,5787.142857142857,6137.714285714285,973.1428571428571,809.1428571428571,1879.142857142857,1160.2857142857142,1280,0,35.285714285714285
8/16/2020,5732,5936,1375.857142857143,438.2857142857143,1767.857142857143,1017.8571428571429,1298.857142857143,0,36.857142857142854
8/23/2020,6116.571428571428,5954.857142857143,1373.4285714285713,462.2857142857143,1698.857142857143,1081.7142857142858,1208.4285714285713,88.57142857142857,40.285714285714285
8/30/2020,6160.428571428572,5796.285714285715,1282.857142857143,745.5714285714286,1556.7142857142858,1027.4285714285713,1147.7142857142858,0,35.142857142857146
9/6/2020,5661.571428571428,5481.428571428572,1265,760.2857142857143,1155.4285714285713,1078.5714285714287,1186.857142857143,0,34.57142857142857
9/13/2020,5679.285714285715,5403.857142857143,1386.5714285714287,324.7142857142857,1308.5714285714287,1161.857142857143,1184.142857142857,0,37.285714285714285
9/20/2020,5614.714285714285,5334.714285714285,1386.5714285714287,590,1119.7142857142858,1014.1428571428571,1188.4285714285713,0,35.42857142857143
9/27/2020,5570.714285714285,5807.428571428572,1392,712.8571428571429,1215.142857142857,1152.5714285714287,1285.7142857142858,0,48.285714285714285
10/4/2020,5599.857142857143,5804,1392.2857142857142,1049,1057.142857142857,1049.857142857143,1201.142857142857,0,54.142857142857146
10/11/2020,5617.428571428572,5460.857142857143,1410.857142857143,929.2857142857143,1209,916.4285714285714,925.8571428571429,0,68.14285714285714
10/18/2020,5686.571428571428,5334.428571428572,1412.7142857142858,1143.2857142857142,1267.7142857142858,382.57142857142856,1065.857142857143,0,61.714285714285715
10/25/2020,5868.142857142857,5198.428571428572,1419.857142857143,480.7142857142857,1606.7142857142858,553.7142857142857,1064,0,72.42857142857143
11/1/2020,6194.142857142857,5895.142857142857,1419.142857142857,807.1428571428571,1452,1044.7142857142858,1096.142857142857,0,75.71428571428571
11/8/2020,6037,5812.714285714285,1420.4285714285713,687.4285714285714,1370.2857142857142,1279.857142857143,990.1428571428571,0,63.857142857142854
11/15/2020,6144.142857142857,5711.428571428572,1419.5714285714287,234.14285714285714,1344.5714285714287,1476.142857142857,1170.7142857142858,0,65.14285714285714
11/22/2020,6287.428571428572,6166.142857142857,1422.7142857142858,457,1329.5714285714287,1613,1280,0,63
11/29/2020,6498.714285714285,6384,1421,492.2857142857143,1351.2857142857142,1699.4285714285713,1353.7142857142858,0,65.71428571428571
12/6/2020,6488.142857142857,6955.285714285715,1422.857142857143,1231.4285714285713,1280,1582,1367.2857142857142,0,71.42857142857143
12/13/2020,6638.857142857143,6908.142857142857,1424,1116.5714285714287,1371.2857142857142,1652.5714285714287,1267.4285714285713,0,74.42857142857143
12/20/2020,6615.428571428572,6374.857142857143,1424.4285714285713,417.42857142857144,1446.5714285714287,1651.4285714285713,1362,0,72.42857142857143
12/27/2020,6189.857142857143,6236.142857142857,1420.857142857143,596.8571428571429,1289.4285714285713,1564.4285714285713,1289.857142857143,0,74
1/3/2021,5821.714285714285,6849.142857142857,1422.4285714285713,1442.4285714285713,1564.142857142857,1266.857142857143,1082.142857142857,0,70.14285714285714
1/10/2021,6366.714285714285,7096.142857142857,1420.5714285714287,1162,2205.1428571428573,1369.4285714285713,870.2857142857143,0,69.14285714285714
1/17/2021,6820.428571428572,7069.428571428572,1417.7142857142858,1065.142857142857,1966.5714285714287,1414.4285714285713,1131,0,72.85714285714286
1/24/2021,6851.714285714285,6794.142857142857,1296.2857142857142,899.1428571428571,1488.7142857142858,1555,1485.142857142857,0,68.71428571428571
1/31/2021,6643.142857142857,7145,831.8571428571429,1645.5714285714287,1751.142857142857,1536,1310.7142857142858,0,69.14285714285714
2/7/2021,6600.857142857143,7093.857142857143,1404,606.1428571428571,2061.714285714286,1604.857142857143,1343.2857142857142,0,73
2/14/2021,6701.714285714285,7664.571428571428,1397.142857142857,1246.4285714285713,2228.1428571428573,1405.5714285714287,1313.4285714285713,0,73.14285714285714
2/21/2021,7162.714285714285,7663.857142857143,1395.142857142857,766.2857142857143,2380.285714285714,1589.142857142857,1453.5714285714287,3.2857142857142856,75.14285714285714
2/28/2021,6497.857142857143,6377.857142857143,1393.5714285714287,460.2857142857143,1820.7142857142858,1336.142857142857,1293.857142857143,0,73.14285714285714
3/7/2021,6426.285714285715,6799.857142857143,1399.2857142857142,954.7142857142857,1701.2857142857142,1360.2857142857142,1315.4285714285713,0,68.14285714285714
3/14/2021,6578.571428571428,6580.285714285715,1401.2857142857142,822.2857142857143,1564.2857142857142,1428.857142857143,1295,0.2857142857142857,67.28571428571429
3/21/2021,6531.285714285715,6993.285714285715,1400.4285714285713,820.2857142857143,1960.5714285714287,1550.7142857142858,1181.2857142857142,0,79.28571428571429
3/28/2021,6571.857142857143,6911,1401.4285714285713,857.5714285714286,2004.142857142857,1451,1121.142857142857,0,75.28571428571429
4/4/2021,6248.857142857143,6662.428571428572,1398.857142857143,1136.142857142857,1850.857142857143,1153.857142857143,1045.7142857142858,0,76.42857142857143
4/11/2021,6377.142857142857,6224.714285714285,1400,533.1428571428571,2264.4285714285716,726.4285714285714,1223.5714285714287,0,76.42857142857143
4/18/2021,6297.571428571428,6382.714285714285,1418,971.1428571428571,1911.7142857142858,703.8571428571429,1302,0,75.14285714285714
4/25/2021,6310.285714285715,6287,1415,355.14285714285717,1978,928.4285714285714,1544.5714285714287,0.14285714285714285,64.14285714285714
5/2/2021,6005.857142857143,6514.285714285715,1416.142857142857,929,1844.4285714285713,951.8571428571429,1303.142857142857,0,68.42857142857143
5/9/2021,5579.428571428572,6178.142857142857,1419.5714285714287,925.5714285714286,2228.8571428571427,583.1428571428571,958.1428571428571,0.14285714285714285,61.714285714285715
5/16/2021,5782,6018.857142857143,709.8571428571429,853.1428571428571,2425.1428571428573,855.1428571428571,1099.142857142857,0,75.85714285714286
5/23/2021,5782.285714285715,6639.428571428572,704.7142857142857,796.1428571428571,3131.8571428571427,856.5714285714286,1080.2857142857142,0,69.14285714285714
5/30/2021,5699.428571428572,6448.428571428572,705.4285714285714,790.5714285714286,3085.714285714286,719.8571428571429,1075,0,70.57142857142857
6/6/2021,5727.571428571428,7050.857142857143,708.5714285714286,936.4285714285714,3416.8571428571427,729.2857142857143,1197,0,62
6/13/2021,5704.571428571428,5864.142857142857,704.2857142857143,415.14285714285717,2581.714285714286,923.5714285714286,1177,0,63
6/20/2021,5805.285714285715,7078.857142857143,1245.2857142857142,1169.2857142857142,2461.5714285714284,1005.2857142857143,1130.857142857143,0,65.57142857142857
6/27/2021,5912.571428571428,6375.428571428572,1390.4285714285713,327.2857142857143,2483.1428571428573,1023.2857142857143,1083.142857142857,0,67.42857142857143
7/4/2021,6156.571428571428,6472.714285714285,1368.2857142857142,730,1967.2857142857142,1118.7142857142858,1229,0,58.42857142857143
7/11/2021,6158,6321.714285714285,1274.2857142857142,704.7142857142857,1828,1119.857142857143,1334.142857142857,0,60.57142857142857
7/18/2021,6299.714285714285,5719.714285714285,1206.7142857142858,292.14285714285717,1627.5714285714287,1220.4285714285713,1314,0,56.42857142857143
7/25/2021,6153.857142857143,6168.857142857143,1363.7142857142858,556.7142857142857,1622.857142857143,1182.5714285714287,1389.4285714285713,0,52.714285714285715
8/1/2021,6264.142857142857,5777.285714285715,1107.2857142857142,360.2857142857143,1679.142857142857,1100.5714285714287,1476.857142857143,0,52.57142857142857
8/8/2021,6134.571428571428,5721.285714285715,1357.142857142857,793.4285714285714,1207.857142857143,1069.857142857143,1231.142857142857,0,60.857142857142854
8/15/2021,5995.428571428572,5569,1361,401.85714285714283,1238,1256.4285714285713,1249.142857142857,0,61.857142857142854
8/22/2021,5859.714285714285,5595.428571428572,1367.7142857142858,663.1428571428571,1218.142857142857,1118.5714285714287,1159.7142857142858,0,67.28571428571429
8/29/2021,5774.571428571428,5236.142857142857,1371.2857142857142,358,1277.5714285714287,1179.142857142857,989,0,60.285714285714285
9/5/2021,5622.428571428572,5682.714285714285,1382.2857142857142,777.1428571428571,1198.5714285714287,1066.7142857142858,1198.857142857143,0.14285714285714285,57
9/12/2021,5633.714285714285,5383.571428571428,1397.857142857143,523.1428571428571,1126.2857142857142,1062,1226,0,47
9/19/2021,5714.285714285715,5383.714285714285,1341.2857142857142,533.2857142857143,1095.142857142857,1172.142857142857,1177.2857142857142,0,63.285714285714285
9/26/2021,5679.428571428572,5144.428571428572,1396.142857142857,620.1428571428571,856.1428571428571,1128.5714285714287,1093.142857142857,0,49.57142857142857
10/3/2021,5720.571428571428,5176,1402.7142857142858,507.7142857142857,939.7142857142857,1092.7142857142858,1167.7142857142858,0,63.285714285714285
10/10/2021,5865,5825.285714285715,1412.142857142857,993.2857142857143,1067,1034,1251.2857142857142,0,66.42857142857143
10/17/2021,6040.428571428572,5681.285714285715,1181.857142857143,1049.2857142857142,994.2857142857143,1138.7142857142858,1252.2857142857142,0,63.857142857142854
10/24/2021,5976.571428571428,5744.428571428572,1413.857142857143,765.8571428571429,907.5714285714286,1235.142857142857,1348.142857142857,0,72.57142857142857
10/31/2021,6042,5543.285714285715,1408.857142857143,245.14285714285714,953.4285714285714,1435.857142857143,1425.2857142857142,0,73.71428571428571
11/7/2021,5923.714285714285,5629.285714285715,1415.5714285714287,465,952,1315.142857142857,1432.7142857142858,0,47.57142857142857
11/14/2021,6062.571428571428,5925.285714285715,1410.5714285714287,773.1428571428571,955.2857142857143,1423.7142857142858,1301.142857142857,0,60.285714285714285
11/21/2021,6208.285714285715,5821.857142857143,1416.2857142857142,624.2857142857143,953.2857142857143,1593.857142857143,1168.857142857143,0,65.28571428571429
11/28/2021,6295.714285714285,5993.142857142857,1415.857142857143,769.1428571428571,1004.7142857142857,1559.857142857143,1170.857142857143,0,71.71428571428571
12/5/2021,6233,6563.285714285715,1417.857142857143,1382.7142857142858,921.1428571428571,1544.5714285714287,1230.142857142857,0,66.14285714285714
12/12/2021,6616.571428571428,6911.285714285715,1415.2857142857142,1504.2857142857142,1140.4285714285713,1610.5714285714287,1172.5714285714287,0,67.14285714285714
12/19/2021,6677.857142857143,6942.714285714285,1413.7142857142858,1283.857142857143,1430.5714285714287,1560.7142857142858,1187.2857142857142,0,66
12/26/2021,6520.857142857143,6741.285714285715,1409.142857142857,1261.2857142857142,1202,1616.857142857143,1182,0,69.28571428571429
1/2/2022,6046.857142857143,6110,1313,769.2857142857143,1354.7142857142858,1438.857142857143,1168.857142857143,0,62.857142857142854
1/9/2022,6166.714285714285,6847.571428571428,1417.4285714285713,1161.7142857142858,1735.142857142857,1492,981.2857142857143,0,59.142857142857146
